"","gender","age","year","improvement"
"261","male",72,1952,0.0078
"262","male",73,1952,0.0083
"263","male",74,1952,0.0087
"264","male",75,1952,0.0089
"265","male",76,1952,0.0089
"266","male",77,1952,0.0088
"267","male",78,1952,0.0084
"268","male",79,1952,0.0079
"269","male",80,1952,0.0072
"270","male",81,1952,0.0065
"271","male",82,1952,0.0057
"272","male",83,1952,0.0048
"273","male",84,1952,0.0038
"274","male",85,1952,0.0027
"275","male",86,1952,0.0015
"276","male",87,1952,1e-04
"277","male",88,1952,-0.0015
"278","male",89,1952,-0.0032
"279","male",90,1952,-0.0052
"280","male",91,1952,-0.0073
"281","male",92,1952,-0.0096
"282","male",93,1952,-0.0121
"283","male",94,1952,-0.0148
"284","male",95,1952,-0.0176
"285","male",96,1952,-0.0167
"286","male",97,1952,-0.0158
"287","male",98,1952,-0.0149
"288","male",99,1952,-0.0141
"289","male",100,1952,-0.0132
"290","male",101,1952,-0.0123
"291","male",102,1952,-0.0114
"292","male",103,1952,-0.0105
"293","male",104,1952,-0.0097
"294","male",105,1952,-0.0088
"295","male",106,1952,-0.0079
"296","male",107,1952,-0.007
"297","male",108,1952,-0.0062
"298","male",109,1952,-0.0053
"299","male",110,1952,-0.0044
"300","male",111,1952,-0.0035
"301","male",112,1952,-0.0026
"302","male",113,1952,-0.0018
"303","male",114,1952,-9e-04
"304","male",115,1952,0
"305","male",116,1952,0
"306","male",117,1952,0
"307","male",118,1952,0
"308","male",119,1952,0
"309","male",120,1952,0
"310","female",18,1952,0.0602
"311","female",19,1952,0.0602
"312","female",20,1952,0.0602
"313","female",21,1952,0.0618
"314","female",22,1952,0.0632
"315","female",23,1952,0.0642
"316","female",24,1952,0.0647
"317","female",25,1952,0.0649
"318","female",26,1952,0.0646
"319","female",27,1952,0.0639
"320","female",28,1952,0.0629
"321","female",29,1952,0.0615
"322","female",30,1952,0.0599
"323","female",31,1952,0.0582
"324","female",32,1952,0.0563
"325","female",33,1952,0.0544
"326","female",34,1952,0.0525
"327","female",35,1952,0.0507
"328","female",36,1952,0.0489
"329","female",37,1952,0.0473
"330","female",38,1952,0.0458
"331","female",39,1952,0.0444
"332","female",40,1952,0.0432
"333","female",41,1952,0.0422
"334","female",42,1952,0.0413
"335","female",43,1952,0.0405
"336","female",44,1952,0.0397
"337","female",45,1952,0.0387
"338","female",46,1952,0.0376
"339","female",47,1952,0.0362
"340","female",48,1952,0.0347
"341","female",49,1952,0.0331
"342","female",50,1952,0.0315
"343","female",51,1952,0.03
"344","female",52,1952,0.0289
"345","female",53,1952,0.0281
"346","female",54,1952,0.0276
"347","female",55,1952,0.0275
"348","female",56,1952,0.0276
"349","female",57,1952,0.0278
"350","female",58,1952,0.028
"351","female",59,1952,0.028
"352","female",60,1952,0.0278
"353","female",61,1952,0.0273
"354","female",62,1952,0.0264
"355","female",63,1952,0.0254
"356","female",64,1952,0.0242
"357","female",65,1952,0.023
"358","female",66,1952,0.0219
"359","female",67,1952,0.021
"360","female",68,1952,0.0203
"361","female",69,1952,0.02
"362","female",70,1952,0.0198
"363","female",71,1952,0.0197
"364","female",72,1952,0.0197
"365","female",73,1952,0.0195
"366","female",74,1952,0.0192
"367","female",75,1952,0.0187
"368","female",76,1952,0.0179
"369","female",77,1952,0.0169
"370","female",78,1952,0.0156
"371","female",79,1952,0.0141
"372","female",80,1952,0.0124
"373","female",81,1952,0.0105
"374","female",82,1952,0.0086
"375","female",83,1952,0.0066
"376","female",84,1952,0.0045
"377","female",85,1952,0.0025
"378","female",86,1952,5e-04
"379","female",87,1952,-0.0015
"380","female",88,1952,-0.0034
"381","female",89,1952,-0.0052
"382","female",90,1952,-0.0069
"383","female",91,1952,-0.0086
"384","female",92,1952,-0.0101
"385","female",93,1952,-0.0115
"386","female",94,1952,-0.0127
"387","female",95,1952,-0.0139
"388","female",96,1952,-0.0132
"389","female",97,1952,-0.0125
"390","female",98,1952,-0.0118
"391","female",99,1952,-0.0111
"392","female",100,1952,-0.0104
"393","female",101,1952,-0.0097
"394","female",102,1952,-0.009
"395","female",103,1952,-0.0083
"396","female",104,1952,-0.0076
"397","female",105,1952,-0.0069
"398","female",106,1952,-0.0062
"399","female",107,1952,-0.0055
"400","female",108,1952,-0.0048
"401","female",109,1952,-0.0042
"402","female",110,1952,-0.0035
"403","female",111,1952,-0.0028
"404","female",112,1952,-0.0021
"405","female",113,1952,-0.0014
"406","female",114,1952,-7e-04
"407","female",115,1952,0
"408","female",116,1952,0
"409","female",117,1952,0
"410","female",118,1952,0
"411","female",119,1952,0
"412","female",120,1952,0
"413","male",18,1953,0.0014
"414","male",19,1953,0.0014
"415","male",20,1953,0.0014
"416","male",21,1953,0.0018
"417","male",22,1953,0.0033
"418","male",23,1953,0.0058
"419","male",24,1953,0.0089
"420","male",25,1953,0.0124
"421","male",26,1953,0.0161
"422","male",27,1953,0.0196
"423","male",28,1953,0.0227
"424","male",29,1953,0.0253
"425","male",30,1953,0.0274
"426","male",31,1953,0.0289
"427","male",32,1953,0.0299
"428","male",33,1953,0.0305
"429","male",34,1953,0.0308
"430","male",35,1953,0.0308
"431","male",36,1953,0.0305
"432","male",37,1953,0.0299
"433","male",38,1953,0.0292
"434","male",39,1953,0.0284
"435","male",40,1953,0.0274
"436","male",41,1953,0.0263
"437","male",42,1953,0.025
"438","male",43,1953,0.0238
"439","male",44,1953,0.0225
"440","male",45,1953,0.0212
"441","male",46,1953,0.02
"442","male",47,1953,0.0188
"443","male",48,1953,0.0178
"444","male",49,1953,0.0169
"445","male",50,1953,0.0161
"446","male",51,1953,0.0154
"447","male",52,1953,0.0149
"448","male",53,1953,0.0143
"449","male",54,1953,0.0139
"450","male",55,1953,0.0134
"451","male",56,1953,0.0128
"452","male",57,1953,0.0121
"453","male",58,1953,0.0113
"454","male",59,1953,0.0104
"455","male",60,1953,0.0094
"456","male",61,1953,0.0083
"457","male",62,1953,0.0072
"458","male",63,1953,0.0062
"459","male",64,1953,0.0053
"460","male",65,1953,0.0046
"461","male",66,1953,0.0041
"462","male",67,1953,0.0039
"463","male",68,1953,0.004
"464","male",69,1953,0.0042
